decision,reason,title,year,doi,cited_by,direction,via_seeds
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Decoding Logic Errors: A Comparative Study on Bug Detection by Students and Large Language Models,2024,https://doi.org/10.1145/3636243.3636245,27,forward,AltadmriBrown2015
excluded,"error-message/tooling focus, no new misconceptions",BlueJ Visual Debugger for Learning the Execution of Object-Oriented Programs?,2010,https://doi.org/10.1145/1789934.1789938,26,forward,Ragonis2005
excluded,"error-message/tooling focus, no new misconceptions",Analyzing novice programmers' response to compiler error messages,2016,https://doi.org/10.5555/2835377.2835386,25,forward,AltadmriBrown2015
kept,Spohrer & Soloway counterpoint that most bugs are not construct misconceptions,Alternatives to construct-based programming misconceptions,1986,https://doi.org/10.1145/22339.22369,23,backward,Kaczmarczyk2010;KumarVeerasamy2016
excluded,"error-message/tooling focus, no new misconceptions",An Exploration of the Effects of Enhanced Compiler Error Messages for Computer Programming Novices,2015,https://doi.org/10.13140/rg.2.2.26637.13288,22,forward,AltadmriBrown2015
excluded,"difficulty/factor/intervention study, no construct-level misconception statements","Learning programming, syntax errors and institution-specific factors",2018,https://doi.org/10.1145/3160489.3160490,20,forward,AltadmriBrown2015
excluded,"block-based or pre-CS1 population, out of scope",Cluster-Based Analysis of Novice Coding Misconceptions in Block-Based Programming,2020,https://doi.org/10.1145/3328778.3366924,20,forward,AltadmriBrown2015
kept,recent school-level misconception study,Analysis of school students' misconceptions about basic programming concepts,2022,https://doi.org/10.1111/jcal.12643,17,forward,Kohn2017
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",An Investigation of High School Students’ Errors in Introductory Programming: A Data-Driven Approach,2019,https://doi.org/10.1177/0735633119887508,17,forward,AltadmriBrown2015;Kaczmarczyk2010
excluded,duplicate OpenAlex record of a kept work,Alternatives to construct-based programming misconceptions,1986,https://doi.org/10.1145/22627.22369,14,backward,Kaczmarczyk2010
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Categorization of Frequent Errors in Solution Codes Created by Novice Programmers,2021,https://doi.org/10.1051/shsconf/202110204014,12,forward,AltadmriBrown2015
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Towards Deriving Programming Competencies from Student Errors,2016,https://doi.org/10.1109/latice.2016.6,10,forward,Ragonis2005
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Predictors of Errors of Novice Java Programmers,2012,https://doi.org/10.5430/wje.v2n1p3,9,backward,KumarVeerasamy2016
excluded,"block-based or pre-CS1 population, out of scope",Using an automated assessment tool to explore difficulties of middle school students in introductory programming,2021,https://doi.org/10.1080/15391523.2020.1865220,9,forward,AltadmriBrown2015;Kaczmarczyk2010;Ragonis2005
excluded,"difficulty/factor/intervention study, no construct-level misconception statements","Concept–based Analysis of Java Programming Errors among Low, Average and High Achieving Novice Programmers",2019,https://doi.org/10.28945/4322,7,forward,AltadmriBrown2015;Kaczmarczyk2010
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Uncovering difficulties in learning for the intermediate programmer,2016,https://doi.org/10.1109/fie.2016.7757446,6,forward,Kaczmarczyk2010
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Identifying Student Misunderstandings About Singly Linked Lists in the C Programming Language,2021,https://doi.org/10.1109/vl/hcc51201.2021.9576162,6,forward,Kaczmarczyk2010
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Object-Oriented Programming: Diagnosis Understanding by Identifying and Describing Novice Perceptions,2020,https://doi.org/10.1109/fie44824.2020.9273990,4,forward,Kaczmarczyk2010
excluded,"error-message/tooling focus, no new misconceptions",SIDE-lib: A Library for Detecting Symptoms of Python Programming Misconceptions,2023,https://doi.org/10.1145/3587102.3588838,4,forward,AltadmriBrown2015;Kaczmarczyk2010
excluded,"block-based or pre-CS1 population, out of scope",LMC + Scratch: A recipe to construct a mental model of program execution,2021,https://doi.org/10.1145/3498343.3498353,3,forward,Kaczmarczyk2010
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Detection and Categorization of Errors by Novice Programmers in a First Year Java Programming Class: A Comparative Analysis,2015,,3,forward,Gobil2009
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Errors and misunderstandings among novice programmers: Assessing the student not the program,2015,,3,forward,AltadmriBrown2015;Ragonis2005
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Common Code Writing Errors Made by Novice Programmers: Implications for the Teaching of Introductory Programming,2022,https://doi.org/10.1007/978-3-030-95003-3_7,3,forward,AltadmriBrown2015
kept,"variable/assignment misconceptions, extends aspect coverage",Focus on Early Misconceptions in the Use of Variables and the Assignment Operator to Facilitate Progress in Learning Computer Programming,2023,https://doi.org/10.1109/fie58773.2023.10342943,3,forward,AltadmriBrown2015
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",A concept for interventions that address typical error classes in programming education,2016,https://doi.org/10.1109/educon.2016.7474605,2,forward,Kaczmarczyk2010
kept,multi-institutional CS1 misconception study,A Multi-institutional Analysis of CS1 Students’ Common Misconceptions of Key Programming Concepts,2022,https://doi.org/10.1007/978-3-031-07650-3_8,1,forward,Kaczmarczyk2010
excluded,"block-based or pre-CS1 population, out of scope",Investigating the Interaction of Game Features and Spatial Skills with Performance and Perceived Difficulty in a Block-Based 3D Programming Puzzle Game,2026,https://doi.org/10.1145/3772318.3791700,1,forward,KumarVeerasamy2016
excluded,"block-based or pre-CS1 population, out of scope",Misconceptions - Misunderstandings of 5<sup>th</sup> - 6<sup>th</sup> Grade Students in Programming: The Educators' Perspective,2025,https://doi.org/10.1109/isec64801.2025.11147344,0,forward,Kaczmarczyk2010;Kohn2017
kept,longitudinal persistence of early misconceptions,Persistence of Early Misconceptions Hinders Progress in Learning Computer Programming,2026,https://doi.org/10.1109/te.2025.3637125,0,forward,Kohn2017;KumarVeerasamy2016
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Quantifying Student Mistakes and Misconceptions of the Run-Time Memory Layout of Java Programs,2026,https://doi.org/10.1145/3803400.3809331,0,forward,Kaczmarczyk2010;Ragonis2005
excluded,superseded by the same author's 2025 paper (kept),Misconceptions about Control and Data Structures in Introductory Programming Courses and their Remedy (Doctoral Consortium),2023,https://doi.org/10.1145/3631802.3631843,0,forward,Eckert2022
kept,"successor of Eckert2022, control-flow misconceptions",Misconceptions About Control Flow in Introductory Programming Courses and Their Remedy,2025,https://doi.org/10.1145/3724389.3731296,0,forward,Eckert2022
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Understanding Java Programming Errors by First Year Students through the Lens of the Neo-Piaget Cognitive Development Framework,2025,https://doi.org/10.1145/3736181.3754328,0,forward,KumarVeerasamy2016
excluded,"error-message/tooling focus, no new misconceptions",An Interactive Animation Tool for Java Object Oriented Programming Understanding,2019,https://doi.org/10.5121/ijpla.2019.9301,0,forward,Ragonis2005
